list size,Circular Array Deque AddFirst time (ns),Circular Array Deque AddLast time (ns),DLL Deque AddFirst time (ns),DLL Deque AddLast time (ns),ASL Deque AddFirst time (ns),ASL Deque AddLast time (ns),LSL Deque AddFirst time (ns),LSL Deque AddLast time (ns)
16700,190900,175800,157000,151900,201664900,181800,154000,692242300
16800,4114700,785300,702600,612900,199288400,179100,145800,693837300
16900,231500,187700,163600,154200,199688800,180600,147300,707743900
17000,190000,174900,165200,155900,218363700,171000,140200,746153600
17100,191800,175400,162200,155700,211014800,212000,163000,730767700
17200,193000,175400,162700,225700,242955900,183500,148300,759392600
17300,209200,198200,177100,168800,227576900,166000,138300,745739500
17400,194800,177300,165400,157200,220105900,188400,156700,748859700
17500,191000,177400,200300,159800,216659800,172400,141500,763831100
17600,188500,179800,174900,171100,224906700,206700,152500,768962500
17700,212500,196400,167700,161300,220073400,192900,147500,779432600
17800,287200,190300,168700,162000,224079200,206300,148300,805301800
17900,189700,180300,174700,163600,236415400,261700,177400,794212800
18000,190200,181000,5881100,999600,241556700,212300,171000,805202400
18100,191000,182300,175000,166100,240418400,206400,158900,814610200
18200,237100,192600,177500,168300,245514100,396400,434500,881210100
18300,197500,183400,173600,166800,243366700,203000,166600,835595700
18400,194100,224000,174000,169800,245570000,207800,161000,850934000
18500,288100,205200,190800,187100,250425600,173400,145600,850521600
18600,202400,184900,218700,191200,248419100,194800,150100,855144700
18700,204300,201300,178200,169800,243873100,212700,155300,867101300
18800,196600,235400,179900,170700,258793400,230400,160600,889971200
18900,197500,203200,180900,172600,251017700,181400,141600,891685000
19000,212900,208200,195100,185900,267836200,176400,149300,896994700
19100,203100,188900,181800,176800,275086800,206100,193700,942697600
19200,226800,222400,244100,200800,258507800,220600,166300,911786900
19300,223400,235300,340200,229700,271356800,211800,178600,921961200
19400,246500,191200,183500,175600,266236400,224600,168400,928166300
19500,207000,208500,186700,177000,275497500,218500,171000,953674300
19600,339900,292900,185700,179000,279097300,236500,175800,970652700
19700,246600,301900,188000,179400,280490700,215200,169800,970113600
19800,290700,195800,258300,196200,284745000,227000,171900,1011255700
19900,204000,209500,189600,182000,291542100,210400,166100,1031565200
20000,246200,194300,188700,210500,283095000,226300,172900,993976400
